sec,nanosec,frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,max_accelerations_scaling_factor,max_velocity_scaling_factor,tolerance
624,55000000,world,0.28600044506060157,3.525106596435038e-08,0.20449141825438644,5.395906004140099e-13,-8.388289013074168e-06,6.432665822005031e-08,0.9999999999648163,0.0,0.0,0.0
624,74000000,world,0.2860004450606011,3.5251065964350326e-08,0.20449141825438738,5.39590600528277e-13,-8.388289014850524e-06,6.432665822005031e-08,0.9999999999648163,0.0,0.0,0.0
624,92000000,world,0.2860004450606008,3.525106596435028e-08,0.2044914182543872,5.395906004711434e-13,-8.388289013962346e-06,6.432665822005031e-08,0.9999999999648163,0.0,0.0,0.0
624,154000000,world,0.28600044506060024,3.5251066207711494e-08,0.20449141825438888,5.395906043962595e-13,-8.38828901707097e-06,6.432665866413952e-08,0.9999999999648163,0.0,0.0,0.0
624,171000000,world,0.28600044506059996,3.5251066207711455e-08,0.20449141825438916,5.395906043962595e-13,-8.38828901707097e-06,6.432665866413952e-08,0.9999999999648163,0.0,0.0,0.0
624,183000000,world,0.28600044506059985,3.525106620771144e-08,0.2044914182543896,5.395906044819598e-13,-8.388289018403238e-06,6.432665866413952e-08,0.9999999999648163,0.0,0.0,0.0
624,253000000,world,0.2860004450605994,3.525106620771138e-08,0.20449141825439082,5.395906045962269e-13,-8.388289020179595e-06,6.432665866413952e-08,0.9999999999648163,0.0,0.0,0.0
624,266000000,world,0.2860004450605992,3.5251066207711355e-08,0.2044914182543911,5.395906046247936e-13,-8.388289020623684e-06,6.432665866413952e-08,0.9999999999648163,0.0,0.0,0.0
624,298000000,world,0.2860004450605992,3.5251066451072636e-08,0.2044914182543911,5.395906083785092e-13,-8.388289021067773e-06,6.432665910822873e-08,0.9999999999648163,0.0,0.0,0.0
624,364000000,world,0.2860004450605987,3.5251066451072577e-08,0.20449141825439227,5.395906084927762e-13,-8.38828902284413e-06,6.432665910822873e-08,0.9999999999648163,0.0,0.0,0.0
624,392000000,world,0.2860004450605987,3.5251066451072577e-08,0.20449141825439204,5.395906084642094e-13,-8.388289022400041e-06,6.432665910822873e-08,0.9999999999648163,0.0,0.0,0.0
624,454000000,world,0.28600044506059835,3.525106645107253e-08,0.20449141825439276,5.395906085499097e-13,-8.388289023732309e-06,6.432665910822873e-08,0.9999999999648163,0.0,0.0,0.0
624,463000000,world,0.2860004450605986,3.5251066451072563e-08,0.20449141825439254,5.39590608521343e-13,-8.38828902328822e-06,6.432665910822873e-08,0.9999999999648163,0.0,0.0,0.0
624,481000000,world,0.28600044506059824,3.525106645107252e-08,0.20449141825439304,5.395906085784765e-13,-8.388289024176398e-06,6.432665910822873e-08,0.9999999999648163,0.0,0.0,0.0
624,562000000,world,0.286000445060598,3.525106645107249e-08,0.2044914182543937,5.395906086641769e-13,-8.388289025508665e-06,6.432665910822873e-08,0.9999999999648163,0.0,0.0,0.0
624,576000000,world,0.28600044506059824,3.525106645107252e-08,0.20449141825439326,5.395906086070433e-13,-8.388289024620487e-06,6.432665910822873e-08,0.9999999999648163,0.0,0.0,0.0
624,593000000,world,0.286000445060598,3.525106645107249e-08,0.2044914182543937,5.395906086641769e-13,-8.388289025508665e-06,6.432665910822873e-08,0.9999999999648163,0.0,0.0,0.0
624,749000000,world,0.2860004450605977,3.5251066451072444e-08,0.20449141825439404,5.395906086927437e-13,-8.388289025952755e-06,6.432665910822873e-08,0.9999999999648163,0.0,0.0,0.0
624,781000000,world,0.2860004450605978,3.525106645107246e-08,0.2044914182543942,5.395906087213104e-13,-8.388289026396844e-06,6.432665910822873e-08,0.9999999999648163,0.0,0.0,0.0
624,851000000,world,0.28600044506059735,3.5251066694433685e-08,0.20449141825439499,5.395906125321593e-13,-8.388289027729111e-06,6.432665955231794e-08,0.9999999999648163,0.0,0.0,0.0
624,892000000,world,0.28600044506059735,3.5251066694433685e-08,0.2044914182543952,5.395906125892929e-13,-8.38828902861729e-06,6.432665955231794e-08,0.9999999999648163,0.0,0.0,0.0
624,956000000,world,0.28600044506059724,3.525106669443367e-08,0.2044914182543952,5.395906125607262e-13,-8.3882890281732e-06,6.432665955231794e-08,0.9999999999648163,0.0,0.0,0.0
624,986000000,world,0.28600044506059735,3.5251066694433685e-08,0.20449141825439454,5.395906124750258e-13,-8.388289026840933e-06,6.432665955231794e-08,0.9999999999648163,0.0,0.0,0.0
625,60000000,world,0.28600044506059724,3.525106669443367e-08,0.2044914182543952,5.395906125892929e-13,-8.38828902861729e-06,6.432665955231794e-08,0.9999999999648163,0.0,0.0,0.0
625,93000000,world,0.28600044506059735,3.5251066694433685e-08,0.20449141825439499,5.395906125321593e-13,-8.388289027729111e-06,6.432665955231794e-08,0.9999999999648163,0.0,0.0,0.0
625,187000000,world,0.28600044506059713,3.525106669443366e-08,0.20449141825439549,5.395906126178597e-13,-8.388289029061379e-06,6.432665955231794e-08,0.9999999999648163,0.0,0.0,0.0
625,257000000,world,0.286000445060597,3.525106669443364e-08,0.2044914182543957,5.395906126178597e-13,-8.388289029061379e-06,6.432665955231794e-08,0.9999999999648163,0.0,0.0,0.0
625,292000000,world,0.28600044506059713,3.525106669443366e-08,0.2044914182543957,5.395906126178597e-13,-8.388289029061379e-06,6.432665955231794e-08,0.9999999999648163,0.0,0.0,0.0
625,356000000,world,0.28600044506059713,3.525106669443366e-08,0.2044914182543957,5.395906126464265e-13,-8.388289029505468e-06,6.432665955231794e-08,0.9999999999648163,0.0,0.0,0.0
